Executable,Stack Allocs,Stack Inspector Runs,Heap Allocs,Heap Frees,Summary Bytes Allocated,Average Bytes Per Allocation,Valgrind Runs,Valgrind Error Summary,Stack Allocs Fraction,Heap Allocs Fraction,Executable Size,Elapsed Time,Status
openssl/test/destest,540683,1,5239,5239,566915,108.210536361901,1,0,0.990403390960614,0.00959660903938658,4992968.0,1.94105505943298,True
openssl/test/dhtest,41719467,1,10966,10966,1073863,97.9265912821448,1,0,0.999737218159227,0.000262781840773136,4977312.0,4.79054117202759,True
openssl/test/drbgtest,577980781,145,790235,788219,83287581,105.395965757022,145,0,0.998634632733578,0.00136536726642165,4972904.0,42.1265745162964,True
openssl/test/dsa_no_digest_size_test,1357460,1,8607,8607,1209601,140.536888579064,1,0,0.993699430555017,0.0063005694449833,4960592.0,2.71006655693054,True
openssl/test/dsatest,43920991,1,112488,112488,11052852,98.2580541924472,1,0,0.997445398307047,0.00255460169295276,4969048.0,96.9231142997742,True
openssl/test/dtls_mtu_test,0,1,0,0,0,0,1,0,0,0,138504.0,1.10377979278564,True
openssl/test/dtlstest,0,1,0,0,0,0,1,0,0,0,138880.0,1.13555717468262,True
openssl/test/dtlsv1listentest,1337,1,13004,13004,2215471,170.368425099969,1,0,0.0932292029844502,0.90677079701555,98760.0,1.99160838127136,True
openssl/test/ec_internal_test,4306426,1,30464,30464,2678933,87.9376641281513,1,0,0.992975611555746,0.00702438844425383,4960208.0,2.79702997207642,True
openssl/test/ecdsatest,746428698,1,392014,392014,32547762,83.0270398506176,1,0,0.999475089544651,0.000524910455349021,5612296.0,95.4770414829254,True
openssl/test/ectest,661806500,1,975110,975110,293389297,300.878154259519,1,0,0.998528761231018,0.00147123876898154,5061688.0,84.307820558548,True
openssl/test/endecode_test,3964405,1,20950,20950,2026362,96.723723150358,1,0,0.994743253737747,0.00525674626225267,5080552.0,6.29272818565369,True
openssl/test/endecoder_legacy_test,8965,1,89,14,4738,53.2359550561798,1,0,0.990170090567705,0.00982990943229512,4973736.0,1.21085214614868,True
openssl/test/enginetest,676,1,74,74,3810,51.4864864864865,1,0,0.901333333333333,0.0986666666666667,108576.0,1.20695567131042,True
openssl/test/errtest,0,1,0,0,0,0,1,0,0,0,107168.0,1.04739284515381,True
openssl/test/event_queue_test,948,1,1514,1514,59925,39.5805812417437,1,0,0.385052802599513,0.614947197400487,102952.0,1.25325107574463,True
openssl/test/evp_extra_test,20244731,1,48719,48719,4864014,99.8381329666044,1,2,0.997599274642804,0.00240072535719653,5151672.0,21.2320942878723,True
openssl/test/evp_extra_test2,0,1,0,0,0,0,1,0,0,0,141752.0,0.952766180038452,True
openssl/test/evp_fetch_prov_test,1053,1,14367,14367,631261,43.9382612932415,1,0,0.0682879377431907,0.931712062256809,108272.0,1.81125831604004,True
openssl/test/evp_kdf_test,5352,1,59916,59912,7042354,117.537118632753,1,0,0.0820003677146534,0.917999632285347,147944.0,4.5208432674408,True
openssl/test/evp_libctx_test,16717717,1,16870,16870,1810555,107.323947836396,1,0,0.998991908195882,0.00100809180411802,4981552.0,21.5847780704498,True
openssl/test/evp_pkey_ctx_new_from_name,14,1,4764,4764,147732,31.0100755667506,1,0,0.00293009627459188,0.997069903725408,25048.0,1.4710431098938,True
openssl/test/evp_pkey_dhkem_test,22258358,1,21197,21197,1962411,92.5796574987026,1,0,0.999048589615008,0.00095141038499198,4992104.0,6.49707913398743,True
openssl/test/evp_pkey_dparams_test,1151,1,2709,2709,111626,41.2056109265412,1,0,0.298186528497409,0.701813471502591,98208.0,1.65916562080383,True
openssl/test/evp_pkey_provided_test,8831,1,89,14,4738,53.2359550561798,1,0,0.990022421524664,0.00997757847533632,5001520.0,1.1485698223114,True
openssl/test/evp_test,0,1,0,0,0,0,1,0,0,0,185824.0,1.06106185913086,True
openssl/test/evp_xof_test,0,1,0,0,0,0,1,0,0,0,102912.0,1.12885642051697,True
openssl/test/exdatatest,827,1,1525,1525,59803,39.2150819672131,1,0,0.351615646258503,0.648384353741497,102496.0,1.31438684463501,True
openssl/test/exptest,65918,1,71679,71679,21452404,299.284365016253,1,0,0.479065677304011,0.520934322695989,106704.0,180.537863969803,True
openssl/test/ext_internal_test,82279,1,1584,1584,62062,39.1805555555556,1,0,0.981112051798767,0.018887948201233,5964184.0,4.19792437553406,True
openssl/test/fatalerrtest,0,1,0,0,0,0,1,0,0,0,133552.0,2.70753693580627,True
openssl/test/ffc_internal_test,65337555,1,109318,109318,10844545,99.2018240362978,1,0,0.998329668095831,0.00167033190416905,4968864.0,119.264327526093,True
openssl/test/fips_version_test,723,1,118,19,6254,53,1,0,0.859690844233056,0.140309155766944,102584.0,1.27068662643433,True
openssl/test/gmdifftest,152473,1,1517,1517,64885,42.7719182597231,1,0,0.990148710955257,0.00985128904474317,97640.0,1.53516173362732,True
openssl/test/hexstr_test,96000,1,1612,1612,62363,38.6867245657568,1,0,0.983485637011843,0.0165143629881572,4959968.0,1.27102708816528,True
openssl/test/hmactest,346633,1,4185,4185,279614,66.8133811230586,1,0,0.988070737533422,0.0119292624665781,4960824.0,1.68202042579651,True
openssl/test/hpke_test,240334254,1,198455,198455,17275733,87.0511350180142,1,131,0.999174935497026,0.000825064502973689,5015032.0,38.3170957565308,True
openssl/test/http_test,0,1,0,0,0,0,1,0,0,0,117880.0,0.954841136932373,True
openssl/test/ideatest,83567,1,1586,1586,62086,39.1462799495586,1,0,0.981374702006976,0.0186252979930243,4960192.0,1.28813815116882,True
openssl/test/igetest,1470,1,6979,6979,579602,83.0494340163347,1,0,0.173985086992544,0.826014913007457,102480.0,1.81217455863953,True
openssl/test/json_test,156919,1,1884,1884,278172,147.649681528662,1,0,0.988136244277501,0.0118637557224989,6105840.0,1.46310043334961,True
openssl/test/keymgmt_internal_test,8842,1,89,14,4738,53.2359550561798,1,0,0.990034710558728,0.00996528944127197,4968408.0,1.25713920593262,True
openssl/test/lhash_test,0,1,0,0,0,0,1,0,0,0,98808.0,0.963348150253296,True
openssl/test/list_test,641,1,1505,1505,59252,39.3700996677741,1,0,0.298695246971109,0.701304753028891,101584.0,1.33785915374756,True
openssl/test/localetest,508,1,6870,6870,228256,33.2250363901019,1,0,0.0688533477907292,0.931146652209271,97760.0,1.90388655662537,True
openssl/test/mdc2_internal_test,83446,1,1584,1584,62052,39.1742424242424,1,0,0.98137128072445,0.0186287192755498,4959792.0,1.37001729011536,True
openssl/test/mdc2test,590,1,4689,4685,158297,33.7592237150778,1,0,0.111763591589316,0.888236408410684,98280.0,1.74050378799438,True
openssl/test/membio_test,0,1,0,0,0,0,1,0,0,0,97696.0,1.01381921768188,True
openssl/test/memleaktest,14,1,1,0,3,3,1,0,0.933333333333333,0.0666666666666667,66280.0,1.22343635559082,True
openssl/test/modes_internal_test,128067,1,1586,1586,62091,39.1494325346784,1,0,0.987767348229505,0.0122326517704951,4979576.0,1.33984589576721,True
openssl/test/moduleloadtest,12,1,0,0,0,0,1,0,1,0,25360.0,1.18413639068604,True
openssl/test/namemap_internal_test,459673,1,5548,5548,677861,122.181146359048,1,0,0.988074485029696,0.0119255149703044,4960080.0,1.70330882072449,True
